date, pm25
2024/10/2, 52
2024/10/3, 50
2024/10/4, 43
2024/10/5, 46
2024/10/6, 53
2024/10/7, 60
2024/10/8, 52
2024/10/9, 53
2024/10/10, 43
2024/10/11, 39
2024/10/12, 50
2024/10/13, 50
2024/10/14, 36
2024/10/15, 27
2024/10/17, 51
2024/10/18, 53
2024/10/19, 56
2024/10/20, 53
2024/10/21, 53
2024/10/22, 52
2024/10/23, 64
2024/10/24, 48
2024/10/25, 45
2024/10/26, 51
2024/7/2, 40
2024/7/3, 49
2024/7/4, 52
2024/7/5, 42
2024/7/6, 54
2024/7/7, 55
2024/7/10, 37
2024/7/11, 43
2024/7/12, 52
2024/7/13, 57
2024/7/14, 53
2024/7/15, 48
2024/7/16, 36
2024/7/17, 38
2024/7/19, 45
2024/7/20, 53
2024/7/21, 45
2024/7/22, 43
2024/7/23, 36
2024/7/24, 45
2024/7/25, 57
2024/7/26, 55
2024/7/28, 42
2024/7/29, 44
2024/7/30, 42
2024/7/31, 44
2024/8/1, 49
2024/8/2, 51
2024/8/3, 54
2024/8/4, 48
2024/8/5, 49
2024/8/6, 50
2024/8/7, 52
2024/8/8, 53
2024/8/9, 57
2024/8/10, 56
2024/8/11, 50
2024/8/12, 35
2024/8/13, 46
2024/8/14, 41
2024/8/15, 46
2024/8/17, 59
2024/8/18, 51
2024/8/22, 59
2024/8/24, 50
2024/8/25, 47
2024/8/26, 49
2024/8/27, 48
2024/8/28, 58
2024/8/29, 64
2024/8/30, 50
2024/8/31, 62
2024/9/1, 71
2024/9/2, 68
2024/9/3, 62
2024/9/4, 76
2024/9/5, 69
2024/9/6, 56
2024/9/7, 60
2024/9/8, 63
2024/9/9, 62
2024/9/10, 65
2024/9/11, 60
2024/9/12, 63
2024/9/13, 64
2024/9/14, 58
2024/9/15, 56
2024/9/16, 58
2024/9/17, 50
2024/9/18, 52
2024/9/19, 55
2024/9/20, 62
2024/9/21, 63
2024/9/24, 46
2024/9/25, 49
2024/9/26, 49
2024/9/27, 47
2024/9/28, 59
2024/9/29, 66
2024/9/30, 48
2024/10/1, 50
2024/4/2, 92
2024/4/3, 82
2024/4/4, 77
2024/4/5, 77
2024/4/6, 60
2024/4/7, 57
2024/4/8, 60
2024/4/9, 57
2024/4/10, 74
2024/4/11, 80
2024/4/12, 74
2024/4/13, 81
2024/4/14, 93
2024/4/15, 108
2024/4/16, 105
2024/4/17, 94
2024/4/18, 89
2024/4/19, 75
2024/4/20, 73
2024/4/21, 64
2024/4/22, 49
2024/4/23, 49
2024/4/24, 60
2024/4/25, 50
2024/4/26, 49
2024/4/27, 57
2024/4/28, 70
2024/4/29, 58
2024/4/30, 46
2024/5/1, 48
2024/5/2, 56
2024/5/3, 47
2024/5/4, 61
2024/5/5, 55
2024/5/6, 45
2024/5/7, 41
2024/5/8, 42
2024/5/9, 47
2024/5/10, 50
2024/5/11, 58
2024/5/12, 62
2024/5/13, 55
2024/5/14, 54
2024/5/15, 45
2024/5/16, 42
2024/5/17, 47
2024/5/18, 55
2024/5/19, 53
2024/5/20, 40
2024/5/21, 45
2024/5/22, 51
