date, pm25
2024/10/2, 74
2024/10/3, 65
2024/10/4, 54
2024/10/5, 59
2024/10/6, 55
2024/10/7, 56
2024/10/8, 51
2024/10/9, 56
2024/10/10, 48
2024/10/11, 56
2024/10/12, 60
2024/10/13, 70
2024/10/14, 51
2024/10/15, 51
2024/10/16, 57
2024/10/17, 59
2024/10/18, 70
2024/10/19, 78
2024/10/20, 56
2024/10/21, 47
2024/10/22, 37
2024/10/23, 49
2024/10/24, 58
2024/10/25, 59
2024/10/26, 62
2024/7/2, 46
2024/7/3, 50
2024/7/4, 65
2024/7/5, 58
2024/7/6, 35
2024/7/7, 38
2024/7/8, 53
2024/7/9, 52
2024/7/10, 55
2024/7/11, 57
2024/7/12, 65
2024/7/13, 69
2024/7/14, 63
2024/7/15, 58
2024/7/16, 51
2024/7/17, 58
2024/7/18, 57
2024/7/19, 58
2024/7/20, 58
2024/7/21, 54
2024/7/22, 53
2024/7/23, 49
2024/7/24, 58
2024/7/25, 63
2024/7/26, 66
2024/7/27, 71
2024/7/28, 67
2024/7/29, 55
2024/7/30, 56
2024/7/31, 59
2024/8/1, 62
2024/8/2, 64
2024/8/3, 70
2024/8/4, 61
2024/8/5, 60
2024/8/6, 54
2024/8/7, 50
2024/8/8, 50
2024/8/9, 62
2024/8/10, 69
2024/8/11, 59
2024/8/12, 46
2024/8/13, 51
2024/8/14, 53
2024/8/15, 61
2024/8/16, 72
2024/8/17, 73
2024/8/18, 61
2024/8/19, 57
2024/8/20, 57
2024/8/21, 65
2024/8/22, 74
2024/8/23, 66
2024/8/24, 55
2024/8/25, 54
2024/8/26, 46
2024/8/27, 48
2024/8/28, 57
2024/8/29, 69
2024/8/30, 60
2024/8/31, 61
2024/9/1, 84
2024/9/2, 69
2024/9/3, 61
2024/9/4, 75
2024/9/5, 71
2024/9/6, 65
2024/9/7, 66
2024/9/8, 68
2024/9/9, 65
2024/9/10, 71
2024/9/11, 72
2024/9/12, 79
2024/9/14, 65
2024/9/15, 66
2024/9/16, 67
2024/9/17, 61
2024/9/18, 61
2024/9/19, 67
2024/9/20, 77
2024/9/21, 80
2024/9/24, 51
2024/9/25, 63
2024/9/26, 60
2024/9/27, 55
2024/9/28, 59
2024/9/29, 65
2024/9/30, 37
2024/10/1, 51
2024/4/2, 63
2024/4/3, 60
2024/4/4, 61
2024/4/5, 68
2024/4/6, 67
2024/4/7, 66
2024/4/8, 67
2024/4/9, 68
2024/4/10, 78
2024/4/11, 94
2024/4/12, 85
2024/4/13, 104
2024/4/14, 113
2024/4/15, 119
2024/4/16, 118
2024/4/17, 105
2024/4/18, 110
2024/4/19, 91
2024/4/20, 84
2024/4/21, 59
2024/4/22, 53
2024/4/23, 50
2024/4/24, 58
2024/4/25, 65
2024/4/26, 59
2024/4/27, 59
2024/4/28, 71
2024/4/29, 61
2024/4/30, 50
2024/5/1, 61
2024/5/2, 64
2024/5/3, 59
2024/5/4, 74
2024/5/5, 60
2024/5/6, 48
2024/5/7, 55
2024/5/8, 58
2024/5/9, 53
2024/5/10, 42
2024/5/11, 45
2024/5/12, 64
2024/5/17, 56
2024/5/18, 72
2024/5/19, 66
2024/5/20, 53
2024/5/21, 51
2024/5/23, 63
2024/5/24, 65
2024/5/25, 54
2024/5/26, 64
2024/5/27, 59
2024/5/28, 49
2024/5/29, 54
2024/5/30, 59
2024/5/31, 55
2024/6/1, 52
2024/6/2, 56
2024/6/3, 50
2024/6/4, 51
2024/6/5, 55
2024/6/6, 60
2024/6/7, 66
2024/6/8, 62
2024/6/9, 61
2024/6/10, 50
2024/6/11, 55
2024/6/12, 58
2024/6/13, 55
2024/6/14, 62
2024/6/15, 57
2024/6/16, 41
2024/6/17, 31
2024/6/18, 47
2024/6/19, 53
2024/6/20, 52
2024/6/21, 54
2024/6/22, 55
2024/6/23, 59
2024/6/24, 48
2024/6/25, 51
2024/6/26, 56
2024/6/27, 46
2024/6/28, 57
2024/6/29, 50
2024/6/30, 56
2024/7/1, 58
2024/1/2, 74
2024/1/3, 60
2024/1/4, 55
2024/1/5, 60
2024/1/6, 62
2024/1/7, 59
2024/1/8, 59
2024/1/9, 61
2024/1/10, 70
2024/1/11, 76
2024/1/12, 78
2024/1/13, 77
2024/1/17, 77
2024/1/18, 84
2024/1/19, 78
2024/1/20, 78
2024/1/21, 77
2024/1/22, 72
2024/1/23, 68
2024/1/24, 66
2024/1/25, 74
2024/1/26, 79
2024/1/27, 94
2024/1/28, 103
2024/1/29, 97
2024/1/30, 92
2024/1/31, 91
2024/2/1, 83
2024/2/2, 84
2024/2/3, 94
2024/2/4, 68
2024/2/5, 59
2024/2/6, 64
2024/2/7, 55
2024/2/8, 62
2024/2/9, 55
2024/2/10, 52
2024/2/11, 60
2024/2/12, 56
2024/2/13, 59
2024/2/14, 75
2024/2/15, 78
2024/2/16, 73
2024/2/17, 77
2024/2/18, 72
2024/2/19, 61
2024/2/20, 64
2024/2/21, 81
2024/2/22, 80
2024/2/23, 61
2024/2/24, 64
2024/2/25, 72
2024/2/26, 76
2024/2/27, 79
2024/2/28, 86
2024/2/29, 104
2024/3/1, 113
2024/3/2, 119
2024/3/3, 108
2024/3/4, 95
2024/3/5, 94
2024/3/6, 124
2024/3/7, 124
2024/3/8, 123
2024/3/9, 112
2024/3/10, 97
2024/3/11, 87
2024/3/12, 84
2024/3/13, 92
2024/3/14, 90
2024/3/15, 95
2024/3/16, 89
2024/3/17, 96
2024/3/18, 97
2024/3/19, 89
2024/3/20, 77
2024/3/21, 80
2024/3/22, 87
2024/3/23, 82
2024/3/24, 87
2024/3/25, 97
2024/3/26, 77
2024/3/27, 59
2024/3/28, 76
2024/3/29, 62
2024/3/30, 70
2024/3/31, 72
2024/4/1, 76
2023/10/2, 54
2023/10/3, 50
2023/10/4, 62
2023/10/5, 47
2023/10/6, 44
2023/10/7, 57
2023/10/12, 59
2023/10/13, 64
2023/10/14, 69
2023/10/15, 78
2023/10/16, 73
2023/10/17, 57
2023/10/18, 53
2023/10/19, 69
2023/10/20, 77
2023/10/21, 71
2023/10/22, 64
2023/10/23, 64
2023/10/24, 64
2023/10/25, 60
2023/10/26, 68
2023/10/27, 73
2023/10/28, 48
2023/10/29, 27
2023/10/30, 25
2023/10/31, 37
2023/11/1, 42
2023/11/2, 50
2023/11/3, 42
2023/11/4, 41
2023/11/5, 52
2023/11/7, 53
2023/11/8, 57
2023/11/9, 69
2023/11/10, 70
2023/11/11, 71
2023/11/12, 70
2023/11/13, 59
2023/11/14, 57
2023/11/15, 61
2023/11/16, 48
2023/11/17, 42
2023/11/18, 56
2023/11/19, 51
2023/11/20, 33
2023/11/21, 38
2023/11/22, 52
2023/11/23, 53
2023/11/24, 58
2023/11/25, 57
2023/11/26, 50
2023/11/27, 53
2023/11/28, 58
2023/11/29, 61
2023/11/30, 61
2023/12/1, 68
2023/12/2, 69
2023/12/3, 69
2023/12/4, 65
2023/12/5, 68
2023/12/6, 75
2023/12/7, 74
2023/12/8, 74
2023/12/9, 80
2023/12/10, 70
2023/12/11, 64
2023/12/12, 59
2023/12/13, 69
2023/12/14, 70
2023/12/15, 76
2023/12/16, 78
2023/12/17, 61
2023/12/18, 44
2023/12/19, 57
2023/12/20, 61
2023/12/21, 62
2023/12/22, 69
2023/12/23, 75
2023/12/24, 78
2023/12/25, 72
2023/12/26, 78
2023/12/27, 59
2023/12/28, 56
2023/12/29, 68
2023/12/30, 54
2023/12/31, 51
2024/1/1, 54
2023/7/2, 55
2023/7/3, 51
2023/7/4, 36
2023/7/5, 39
2023/7/6, 52
2023/7/7, 44
2023/7/8, 42
2023/7/9, 48
2023/7/10, 43
2023/7/11, 44
2023/7/12, 52
2023/7/13, 55
2023/7/14, 56
2023/7/15, 59
2023/7/16, 54
2023/7/17, 45
2023/7/18, 36
2023/7/19, 43
2023/7/20, 56
2023/7/21, 59
2023/7/22, 52
2023/7/23, 62
2023/7/24, 54
2023/7/25, 52
2023/7/26, 64
2023/7/27, 65
2023/7/28, 66
2023/7/29, 66
2023/7/30, 56
2023/7/31, 51
2023/8/1, 47
2023/8/2, 59
2023/8/3, 59
2023/8/4, 64
2023/8/5, 70
2023/8/6, 69
2023/8/7, 60
2023/8/8, 52
2023/8/9, 58
2023/8/10, 70
2023/8/11, 79
2023/8/12, 67
2023/8/13, 59
2023/8/14, 54
2023/8/15, 45
2023/8/16, 49
2023/8/17, 50
2023/8/18, 57
2023/8/19, 54
2023/8/20, 57
2023/8/21, 52
2023/8/22, 31
2023/8/23, 24
2023/8/24, 39
2023/8/25, 57
2023/8/26, 55
2023/8/27, 57
2023/8/28, 60
2023/8/29, 59
2023/8/30, 59
2023/8/31, 57
2023/9/2, 74
2023/9/3, 71
2023/9/4, 49
2023/9/5, 44
2023/9/6, 55
2023/9/7, 59
2023/9/8, 65
2023/9/9, 67
2023/9/10, 66
2023/9/11, 56
2023/9/12, 37
2023/9/13, 48
2023/9/14, 56
2023/9/15, 58
2023/9/16, 51
2023/9/17, 57
2023/9/18, 61
2023/9/19, 51
2023/9/20, 60
2023/9/21, 67
2023/9/22, 71
2023/9/23, 74
2023/9/24, 62
2023/9/25, 58
2023/9/26, 66
2023/9/27, 66
2023/9/28, 65
2023/9/29, 63
2023/9/30, 63
2023/10/1, 68
2023/4/2, 85
2023/4/3, 89
2023/4/4, 65
2023/4/5, 66
2023/4/6, 70
2023/4/7, 66
2023/4/8, 32
2023/4/9, 36
2023/4/10, 44
2023/4/11, 55
2023/4/12, 55
2023/4/13, 65
2023/4/14, 76
2023/4/15, 75
2023/4/16, 74
2023/4/17, 61
2023/4/18, 44
2023/4/19, 50
2023/4/20, 60
2023/4/21, 68
2023/4/22, 49
2023/4/23, 35
2023/4/24, 26
2023/4/25, 29
2023/4/26, 49
2023/4/27, 56
2023/4/28, 61
2023/4/29, 49
2023/4/30, 45
2023/5/1, 45
2023/5/2, 37
2023/5/3, 47
2023/5/4, 64
2023/5/5, 62
2023/5/6, 65
2023/5/7, 68
2023/5/8, 68
2023/5/9, 61
2023/5/10, 63
2023/5/11, 57
2023/5/12, 61
2023/5/13, 67
2023/5/14, 73
2023/5/15, 57
2023/5/16, 51
2023/5/17, 52
2023/5/19, 9
2023/5/21, 54
2023/5/22, 37
2023/5/23, 29
2023/5/24, 37
2023/5/25, 44
2023/5/26, 56
2023/5/27, 42
2023/5/28, 65
2023/5/29, 47
2023/5/30, 35
2023/5/31, 33
2023/6/1, 52
2023/6/2, 46
2023/6/3, 39
2023/6/4, 46
2023/6/5, 55
2023/6/6, 47
2023/6/7, 49
2023/6/8, 50
2023/6/9, 58
2023/6/10, 54
2023/6/11, 50
2023/6/12, 37
2023/6/13, 34
2023/6/14, 51
2023/6/15, 56
2023/6/16, 57
2023/6/17, 60
2023/6/18, 54
2023/6/19, 38
2023/6/20, 24
2023/6/21, 43
2023/6/22, 49
2023/6/23, 46
2023/6/24, 58
2023/6/25, 52
2023/6/26, 40
2023/6/27, 48
2023/6/28, 56
2023/6/29, 54
2023/6/30, 57
2023/7/1, 55
2023/1/3, 58
2023/1/4, 49
2023/1/5, 49
2023/1/6, 55
2023/1/7, 61
2023/1/8, 62
2023/1/9, 56
2023/1/10, 55
2023/1/11, 51
2023/1/12, 52
2023/1/13, 58
2023/1/14, 55
2023/1/15, 61
2023/1/16, 57
2023/1/17, 58
2023/1/18, 62
2023/1/19, 63
2023/1/20, 66
2023/1/21, 69
2023/1/22, 64
2023/1/23, 64
2023/1/24, 70
