date, pm25, pm10, no2
2024/10/2, 82, , 11
2024/10/3, 68, , 7
2024/10/4, 59, , 10
2024/10/5, 60, , 12
2024/10/6, 67, , 10
2024/10/7, 83, , 11
2024/10/8, 71, , 16
2024/10/9, 73, , 7
2024/10/10, 65, , 18
2024/10/11, 63, , 7
2024/10/12, 72, , 8
2024/10/13, 63, , 
2024/10/14, 57, , 
2024/10/15, 59, , 7
2024/10/16, 69, , 12
2024/10/17, 69, , 16
2024/10/18, 87, , 11
2024/10/19, 78, , 12
2024/10/20, 66, , 11
2024/10/21, 62, , 14
2024/10/22, 65, , 13
2024/10/23, 80, , 12
2024/10/24, 63, , 12
2024/10/25, 65, , 9
2024/10/26, 77, , 
2024/7/2, 54, , 15
2024/7/3, 56, , 14
2024/7/4, 65, , 11
2024/7/5, 60, , 6
2024/7/6, 57, , 9
2024/7/7, 69, , 6
2024/7/8, 62, , 9
2024/7/9, 59, , 13
2024/7/10, 61, , 10
2024/7/11, 65, , 12
2024/7/12, 66, , 11
2024/7/13, 72, , 10
2024/7/14, 76, , 6
2024/7/15, 57, , 10
2024/7/16, 56, , 10
2024/7/17, 65, , 12
2024/7/18, 64, , 11
2024/7/19, 64, , 9
2024/7/20, 67, , 9
2024/7/21, 61, , 6
2024/7/22, 51, , 8
2024/7/23, 46, , 10
2024/7/24, 58, , 10
2024/7/25, 74, , 10
2024/7/26, 65, , 11
2024/7/27, 73, , 9
2024/7/28, 67, , 4
2024/7/29, 59, , 8
2024/7/30, 56, , 9
2024/7/31, 64, , 10
2024/8/1, 80, , 12
2024/8/2, 72, , 9
2024/8/3, 65, , 10
2024/8/4, 61, , 4
2024/8/5, 59, , 12
2024/8/6, 63, , 14
2024/8/7, 64, , 10
2024/8/8, 60, , 12
2024/8/9, 70, , 11
2024/8/10, 67, , 11
2024/8/11, 66, , 9
2024/8/12, 61, , 11
2024/8/13, 76, , 12
2024/8/14, 62, , 8
2024/8/15, 65, , 11
2024/8/16, 74, , 16
2024/8/17, 81, , 10
2024/8/18, 68, , 10
2024/8/19, 78, , 9
2024/8/20, 70, , 13
2024/8/21, 69, , 15
2024/8/22, 85, , 10
2024/8/23, 74, , 11
2024/8/24, 67, , 11
2024/8/25, 61, , 9
2024/8/26, 67, , 9
2024/8/27, 57, , 12
2024/8/28, 70, , 8
2024/8/29, 73, , 13
2024/8/30, 71, , 12
2024/8/31, 76, , 14
2024/9/1, 100, , 8
2024/9/2, 74, , 15
2024/9/3, 69, , 12
2024/9/4, 82, , 11
2024/9/5, 73, , 8
2024/9/6, 65, , 5
2024/9/7, 74, , 8
2024/9/11, 80, , 8
2024/9/12, 81, , 7
2024/9/13, 71, , 8
2024/9/14, 63, , 10
2024/9/15, 72, , 4
2024/9/16, 70, , 11
2024/9/17, 61, , 10
2024/9/18, 72, , 9
2024/9/19, 75, , 8
2024/9/20, 74, , 8
2024/9/21, 76, , 
2024/9/24, 57, , 6
2024/9/25, 57, , 9
2024/9/26, 64, , 12
2024/9/27, 72, , 12
2024/9/28, 76, , 11
2024/9/29, 90, , 6
2024/9/30, 64, , 15
2024/10/1, 61, , 16
2024/4/2, 96, , 22
2024/4/3, 94, , 21
2024/4/4, 80, , 25
2024/4/5, 80, , 21
2024/4/6, 78, , 18
2024/4/7, 68, , 11
2024/4/8, 69, , 16
2024/4/9, 59, , 23
2024/4/10, 80, , 20
2024/4/11, 99, , 22
2024/4/12, 98, , 18
2024/4/13, 100, , 17
2024/4/14, 111, , 20
2024/4/15, 120, , 25
2024/4/16, 126, , 21
2024/4/17, 127, , 23
2024/4/18, 109, , 21
2024/4/19, 93, , 23
2024/4/20, 94, , 17
2024/4/21, 71, , 11
2024/4/22, 62, , 20
2024/4/23, 64, , 22
2024/4/24, 76, , 13
2024/4/25, 80, , 17
2024/4/26, 61, , 19
2024/4/27, 71, , 17
2024/4/28, 80, , 14
2024/4/29, 70, , 14
2024/4/30, 57, , 15
2024/5/1, 59, , 11
2024/5/2, 62, , 24
2024/5/3, 61, , 22
