date, pm25
2024/10/2, 45
2024/10/3, 48
2024/10/4, 38
2024/10/5, 44
2024/10/6, 55
2024/10/7, 55
2024/10/8, 45
2024/10/9, 53
2024/10/10, 47
2024/10/11, 25
2024/10/12, 34
2024/10/13, 41
2024/10/15, 32
2024/10/16, 48
2024/10/17, 49
2024/10/18, 52
2024/10/19, 56
2024/10/20, 49
2024/10/21, 47
2024/10/22, 44
2024/10/24, 36
2024/10/26, 40
2024/7/2, 42
2024/7/3, 50
2024/7/4, 48
2024/7/5, 35
2024/7/6, 52
2024/7/7, 51
2024/7/8, 38
2024/7/9, 38
2024/7/10, 39
2024/7/11, 44
2024/7/12, 52
2024/7/13, 55
2024/7/14, 51
2024/7/15, 38
2024/7/16, 32
2024/7/17, 42
2024/7/18, 47
2024/7/19, 45
2024/7/20, 51
2024/7/21, 52
2024/7/22, 44
2024/7/23, 32
2024/7/24, 42
2024/7/25, 55
2024/7/26, 59
2024/7/27, 58
2024/7/28, 52
2024/7/29, 49
2024/7/30, 44
2024/7/31, 47
2024/8/1, 55
2024/8/2, 51
2024/8/7, 53
2024/8/8, 49
2024/8/9, 53
2024/8/10, 54
2024/8/11, 44
2024/8/12, 33
2024/8/13, 41
2024/8/14, 40
2024/8/15, 46
2024/8/16, 60
2024/8/17, 60
2024/8/18, 44
2024/8/19, 46
2024/8/20, 47
2024/8/21, 53
2024/8/22, 55
2024/8/23, 56
2024/8/24, 54
2024/8/25, 36
2024/8/26, 39
2024/8/27, 46
2024/8/28, 57
2024/8/29, 59
2024/8/30, 52
2024/8/31, 61
2024/9/2, 56
2024/9/3, 52
2024/9/4, 68
2024/9/5, 62
2024/9/6, 52
2024/9/7, 63
2024/9/8, 60
2024/9/9, 58
2024/9/10, 62
2024/9/11, 59
2024/9/12, 62
2024/9/13, 66
2024/9/14, 58
2024/9/16, 56
2024/9/17, 50
2024/9/18, 48
2024/9/19, 57
2024/9/20, 63
2024/9/21, 62
2024/9/24, 40
2024/9/25, 39
2024/9/26, 46
2024/9/27, 36
2024/9/28, 54
2024/9/29, 59
2024/9/30, 43
2024/10/1, 40
2024/4/2, 98
2024/4/3, 79
2024/4/4, 73
2024/4/5, 72
2024/4/6, 56
2024/4/7, 55
2024/4/8, 57
2024/4/9, 58
2024/4/10, 80
2024/4/11, 80
2024/4/12, 82
2024/4/13, 99
2024/4/14, 100
2024/4/15, 112
2024/4/16, 106
2024/4/17, 96
2024/4/18, 93
2024/4/19, 71
2024/4/20, 71
2024/4/21, 60
2024/4/22, 51
2024/4/23, 54
2024/4/24, 60
2024/4/25, 47
2024/4/26, 42
2024/4/27, 53
2024/4/28, 65
2024/4/29, 59
2024/4/30, 39
2024/5/1, 40
2024/5/2, 55
2024/5/3, 53
2024/5/4, 63
2024/5/5, 56
2024/5/6, 39
2024/5/7, 40
2024/5/8, 37
2024/5/9, 43
2024/5/10, 43
2024/5/11, 56
2024/5/12, 57
2024/5/13, 49
2024/5/14, 44
2024/5/15, 43
2024/5/16, 41
2024/5/17, 50
2024/5/18, 53
2024/5/19, 53
2024/5/20, 39
2024/5/21, 41
2024/5/22, 43
2024/5/23, 52
2024/5/24, 54
2024/5/25, 45
2024/5/26, 52
2024/5/27, 42
2024/5/28, 36
2024/5/29, 48
2024/5/30, 33
2024/5/31, 49
2024/6/1, 37
2024/6/2, 40
2024/6/3, 36
2024/6/4, 29
2024/6/5, 38
2024/6/6, 53
2024/6/7, 45
2024/6/8, 52
2024/6/9, 45
2024/6/10, 33
2024/6/11, 46
2024/6/12, 44
2024/6/13, 41
2024/6/14, 43
2024/6/15, 59
2024/6/16, 55
2024/6/17, 36
2024/6/18, 34
2024/6/19, 44
2024/6/20, 52
2024/6/21, 47
2024/6/22, 36
2024/6/23, 49
2024/6/24, 35
2024/6/25, 34
2024/6/26, 36
2024/6/27, 49
2024/6/28, 47
2024/6/29, 45
2024/6/30, 38
2024/7/1, 37
2024/1/2, 53
2024/1/3, 45
2024/1/4, 42
2024/1/5, 50
2024/1/6, 52
2024/1/7, 52
2024/1/8, 55
2024/1/9, 57
2024/1/10, 63
2024/1/11, 70
2024/1/12, 70
2024/1/13, 68
2024/1/17, 61
2024/1/18, 64
2024/1/19, 70
2024/1/20, 69
2024/1/21, 64
2024/1/22, 67
2024/1/23, 60
2024/1/24, 57
2024/1/25, 61
2024/1/26, 68
2024/1/27, 80
2024/1/28, 92
2024/1/29, 88
2024/1/30, 80
2024/1/31, 71
2024/2/1, 70
2024/2/2, 72
2024/2/3, 77
2024/2/4, 63
2024/2/5, 56
2024/2/6, 62
2024/2/7, 56
2024/2/8, 51
2024/2/9, 34
2024/2/10, 35
2024/2/11, 44
2024/2/12, 49
2024/2/13, 50
2024/2/14, 61
2024/2/15, 69
2024/2/16, 62
2024/2/17, 58
2024/2/18, 60
2024/2/19, 50
2024/2/20, 57
2024/2/21, 66
2024/2/22, 71
2024/2/23, 58
2024/2/24, 58
2024/2/25, 62
2024/2/26, 68
2024/2/27, 66
2024/2/28, 75
2024/2/29, 91
2024/3/1, 100
2024/3/2, 104
2024/3/3, 89
2024/3/4, 79
2024/3/5, 90
2024/3/6, 110
2024/3/7, 113
2024/3/8, 109
2024/3/9, 98
2024/3/10, 89
