date, pm25
2024/10/2, 65
2024/10/3, 58
2024/10/4, 46
2024/10/5, 46
2024/10/6, 45
2024/10/7, 52
2024/10/8, 52
2024/10/9, 54
2024/10/10, 53
2024/10/11, 50
2024/10/12, 47
2024/10/13, 46
2024/10/14, 36
2024/10/15, 35
2024/10/16, 53
2024/10/17, 59
2024/10/18, 62
2024/10/19, 68
2024/10/20, 51
2024/10/21, 53
2024/10/22, 46
2024/10/23, 54
2024/10/24, 55
2024/10/25, 56
2024/10/26, 55
2024/7/2, 40
2024/7/3, 44
2024/7/4, 58
2024/7/5, 56
2024/7/6, 40
2024/7/7, 36
2024/7/8, 47
2024/7/9, 39
2024/7/10, 38
2024/7/11, 48
2024/7/12, 57
2024/7/13, 63
2024/7/14, 59
2024/7/15, 45
2024/7/16, 38
2024/7/17, 40
2024/7/18, 48
2024/7/19, 56
2024/7/20, 55
2024/7/21, 45
2024/7/22, 39
2024/7/23, 42
2024/7/24, 52
2024/7/25, 57
2024/7/26, 61
2024/7/27, 66
2024/7/28, 60
2024/7/29, 49
2024/7/30, 50
2024/7/31, 48
2024/8/1, 48
2024/8/2, 51
2024/8/3, 59
2024/8/4, 55
2024/8/5, 57
2024/8/6, 49
2024/8/7, 48
2024/8/8, 40
2024/8/9, 54
2024/8/10, 60
2024/8/11, 59
2024/8/12, 49
2024/8/13, 62
2024/8/14, 51
2024/8/15, 48
2024/8/16, 60
2024/8/17, 64
2024/8/18, 52
2024/8/19, 49
2024/8/20, 46
2024/8/21, 53
2024/8/22, 59
2024/8/23, 60
2024/8/24, 51
2024/8/25, 52
2024/8/26, 53
2024/8/27, 47
2024/8/28, 58
2024/8/29, 62
2024/8/30, 57
2024/8/31, 60
2024/9/1, 74
2024/9/2, 70
2024/9/3, 63
2024/9/4, 77
2024/9/5, 67
2024/9/6, 63
2024/9/7, 64
2024/9/8, 64
2024/9/9, 60
2024/9/10, 61
2024/9/11, 61
2024/9/12, 64
2024/9/13, 64
2024/9/14, 56
2024/9/15, 59
2024/9/16, 64
2024/9/17, 57
2024/9/18, 58
2024/9/19, 56
2024/9/20, 67
2024/9/21, 73
2024/9/24, 55
2024/9/25, 54
2024/9/26, 59
2024/9/27, 56
2024/9/28, 59
2024/9/29, 59
2024/9/30, 40
2024/10/1, 48
2024/4/2, 84
2024/4/3, 82
2024/4/4, 67
2024/4/5, 69
2024/4/6, 64
2024/4/7, 56
2024/4/8, 57
2024/4/9, 53
2024/4/10, 65
2024/4/11, 78
2024/4/12, 74
2024/4/13, 87
2024/4/14, 92
2024/4/15, 105
2024/4/16, 108
2024/4/17, 98
2024/4/18, 99
2024/4/19, 82
2024/4/20, 78
2024/4/21, 55
2024/4/22, 43
2024/4/23, 44
2024/4/24, 58
2024/4/25, 61
2024/4/26, 54
2024/4/27, 53
2024/4/28, 60
2024/4/29, 56
2024/4/30, 39
2024/5/1, 54
2024/5/2, 53
2024/5/3, 53
2024/5/4, 73
2024/5/5, 58
2024/5/6, 47
2024/5/7, 50
2024/5/8, 51
2024/5/9, 39
2024/5/10, 49
2024/5/11, 50
2024/5/12, 60
2024/5/13, 53
2024/5/14, 44
2024/5/15, 46
2024/5/16, 50
2024/5/17, 54
2024/5/18, 62
2024/5/19, 58
2024/5/20, 39
2024/5/21, 47
2024/5/22, 58
2024/5/23, 53
2024/5/24, 58
2024/5/25, 52
2024/5/26, 57
2024/5/27, 55
2024/5/28, 52
2024/5/29, 53
2024/5/30, 48
2024/5/31, 54
2024/6/1, 54
2024/6/2, 43
2024/6/3, 36
2024/6/4, 33
2024/6/5, 43
2024/6/6, 60
2024/6/7, 54
2024/6/8, 56
2024/6/9, 48
2024/6/10, 32
2024/6/11, 46
2024/6/12, 53
2024/6/13, 44
2024/6/14, 45
2024/6/15, 42
2024/6/16, 25
2024/6/17, 13
2024/6/18, 9
2024/6/19, 36
2024/6/20, 53
2024/6/21, 55
2024/6/22, 53
2024/6/23, 52
2024/6/24, 47
2024/6/25, 57
2024/6/26, 52
2024/6/27, 51
2024/6/28, 54
2024/6/29, 60
2024/6/30, 52
2024/7/1, 54
2024/1/2, 65
2024/1/3, 55
2024/1/4, 46
2024/1/5, 52
2024/1/6, 54
2024/1/7, 52
2024/1/8, 52
2024/1/9, 53
2024/1/10, 63
2024/1/11, 71
2024/1/12, 69
2024/1/13, 68
2024/1/17, 57
2024/1/18, 58
2024/1/19, 64
2024/1/20, 65
2024/1/21, 62
2024/1/22, 61
2024/1/23, 58
2024/1/24, 51
2024/1/25, 55
2024/1/26, 64
2024/1/27, 83
2024/1/28, 93
2024/1/29, 92
2024/1/30, 88
2024/1/31, 81
2024/2/1, 74
2024/2/2, 75
2024/2/3, 82
2024/2/4, 65
2024/2/5, 52
2024/2/6, 59
2024/2/7, 52
2024/2/8, 56
2024/2/9, 45
2024/2/10, 53
2024/2/11, 53
2024/2/12, 47
2024/2/13, 49
2024/2/14, 64
2024/2/15, 71
2024/2/16, 62
2024/2/17, 59
2024/2/18, 57
2024/2/19, 51
2024/2/20, 51
2024/2/21, 67
2024/2/22, 73
2024/2/23, 58
2024/2/24, 55
2024/2/25, 60
2024/2/26, 64
2024/2/27, 68
2024/2/28, 73
2024/2/29, 92
2024/3/1, 97
2024/3/2, 105
2024/3/3, 95
2024/3/4, 81
2024/3/5, 84
2024/3/6, 116
2024/3/7, 111
2024/3/8, 103
2024/3/9, 98
2024/3/10, 89
2024/3/11, 79
2024/3/12, 77
2024/3/13, 81
2024/3/14, 79
2024/3/15, 81
2024/3/16, 75
2024/3/17, 78
2024/3/18, 86
2024/3/19, 80
2024/3/20, 66
2024/3/21, 80
2024/3/22, 76
2024/3/23, 75
2024/3/24, 85
2024/3/25, 90
2024/3/26, 75
2024/3/27, 70
2024/3/28, 87
2024/3/29, 85
2024/3/30, 76
2024/3/31, 80
2024/4/1, 92
2023/10/2, 44
2023/10/3, 42
2023/10/4, 53
2023/10/5, 51
2023/10/6, 46
2023/10/7, 59
2023/10/8, 65
2023/10/9, 49
2023/10/10, 56
2023/10/11, 66
2023/10/12, 58
2023/10/13, 61
2023/10/14, 59
2023/10/15, 62
2023/10/16, 62
2023/10/17, 45
2023/10/18, 47
2023/10/19, 62
2023/10/20, 64
2023/10/21, 67
2023/10/22, 53
2023/10/23, 56
2023/10/24, 59
2023/10/25, 57
2023/10/26, 62
2023/10/27, 65
2023/10/28, 42
2023/10/29, 20
2023/10/30, 19
2023/10/31, 34
2023/11/1, 42
2023/11/2, 56
2023/11/3, 51
2023/11/4, 40
2023/11/5, 46
2023/11/6, 53
2023/11/7, 42
2023/11/8, 45
2023/11/9, 53
2023/11/10, 61
2023/11/11, 63
2023/11/12, 62
2023/11/13, 56
2023/11/14, 47
2023/11/15, 50
2023/11/16, 45
2023/11/17, 36
2023/11/18, 55
2023/11/19, 48
2023/11/20, 40
2023/11/21, 42
2023/11/22, 44
2023/11/23, 44
2023/11/24, 51
2023/11/25, 51
2023/11/26, 48
2023/11/27, 42
2023/11/28, 38
2023/11/29, 37
2023/11/30, 46
2023/12/1, 52
2023/12/2, 61
2023/12/3, 54
2023/12/4, 57
2023/12/5, 55
2023/12/6, 58
2023/12/7, 65
2023/12/8, 72
2023/12/9, 75
2023/12/10, 61
2023/12/11, 54
2023/12/12, 53
2023/12/13, 55
2023/12/14, 61
