date, pm25
2024/10/2, 85
2024/10/3, 72
2024/10/4, 61
2024/10/5, 66
2024/10/6, 60
2024/10/7, 71
2024/10/8, 58
2024/10/9, 67
2024/10/10, 62
2024/10/11, 60
2024/10/12, 63
2024/10/13, 70
2024/10/14, 52
2024/10/15, 49
2024/10/16, 59
2024/10/17, 63
2024/10/18, 84
2024/10/19, 77
2024/10/20, 65
2024/10/21, 51
2024/10/22, 50
2024/10/23, 61
2024/10/24, 64
2024/10/25, 63
2024/10/26, 75
2024/7/2, 54
2024/7/3, 56
2024/7/4, 68
2024/7/5, 62
2024/7/6, 56
2024/7/7, 54
2024/7/8, 52
2024/7/9, 61
2024/7/10, 61
2024/7/11, 61
2024/7/12, 69
2024/7/13, 78
2024/7/14, 72
2024/7/15, 63
2024/7/16, 54
2024/7/17, 65
2024/7/18, 69
2024/7/19, 68
2024/7/20, 67
2024/7/21, 60
2024/7/22, 58
2024/7/23, 59
2024/7/24, 61
2024/7/25, 69
2024/7/26, 73
2024/7/27, 78
2024/7/28, 71
2024/7/29, 56
2024/7/30, 60
2024/7/31, 69
2024/8/1, 73
2024/8/2, 70
2024/8/3, 77
2024/8/4, 60
2024/8/5, 61
2024/8/6, 63
2024/8/7, 58
2024/8/8, 52
2024/8/9, 63
2024/8/10, 74
2024/8/11, 63
2024/8/12, 47
2024/8/13, 58
2024/8/14, 61
2024/8/15, 65
2024/8/16, 79
2024/8/17, 86
2024/8/18, 68
2024/8/19, 64
2024/8/20, 61
2024/8/21, 70
2024/8/22, 77
2024/8/23, 66
2024/8/24, 56
2024/8/25, 59
2024/8/26, 53
2024/8/27, 46
2024/8/28, 64
2024/8/29, 71
2024/8/30, 66
2024/8/31, 76
2024/9/1, 89
2024/9/2, 73
2024/9/3, 66
2024/9/4, 79
2024/9/5, 77
2024/9/6, 70
2024/9/7, 78
2024/9/8, 78
2024/9/9, 71
2024/9/10, 78
2024/9/11, 88
2024/9/12, 89
2024/9/13, 83
2024/9/14, 76
2024/9/15, 78
2024/9/16, 71
2024/9/17, 62
2024/9/18, 69
2024/9/19, 72
2024/9/20, 83
2024/9/21, 94
2024/9/24, 58
2024/9/25, 65
2024/9/26, 69
2024/9/27, 62
2024/9/28, 65
2024/9/29, 78
2024/9/30, 38
2024/10/1, 62
2024/4/2, 96
2024/4/3, 86
2024/4/4, 69
2024/4/5, 75
2024/4/6, 74
2024/4/7, 69
2024/4/8, 66
2024/4/9, 65
2024/4/10, 79
2024/4/11, 84
2024/4/12, 83
2024/4/13, 94
2024/4/14, 103
2024/4/15, 115
2024/4/16, 112
2024/4/17, 106
2024/4/18, 108
2024/4/19, 96
2024/4/20, 85
2024/4/21, 60
2024/4/22, 57
2024/4/23, 59
2024/4/24, 74
2024/4/25, 65
2024/4/26, 54
2024/4/27, 57
2024/4/28, 66
2024/4/29, 63
2024/4/30, 51
2024/5/1, 63
2024/5/2, 63
2024/5/3, 62
2024/5/4, 75
2024/5/5, 61
2024/5/6, 55
2024/5/7, 53
2024/5/8, 52
2024/5/9, 52
2024/5/10, 50
2024/5/11, 55
2024/5/12, 70
2024/5/13, 64
2024/5/14, 54
2024/5/15, 58
2024/5/16, 55
2024/5/17, 60
2024/5/18, 71
2024/5/19, 66
2024/5/20, 54
2024/5/21, 56
2024/5/22, 67
2024/5/23, 67
2024/5/24, 70
2024/5/25, 56
2024/5/26, 63
2024/5/27, 60
2024/5/28, 56
2024/5/29, 66
2024/5/30, 62
2024/5/31, 66
2024/6/1, 62
2024/6/2, 55
2024/6/3, 47
2024/6/4, 50
2024/6/5, 57
2024/6/6, 69
2024/6/7, 73
2024/6/8, 61
2024/6/9, 58
