date, pm25, pm10, no2, co
2024/10/2, 95, 38, 25, 
2024/10/3, 83, 37, 19, 
2024/10/4, 75, 37, 22, 
2024/10/5, 74, 38, 27, 
2024/10/6, 86, 40, 25, 
2024/10/7, 94, 33, 22, 
2024/10/8, 77, 33, 25, 
2024/10/9, 78, 34, , 
2024/10/10, 78, 32, , 
2024/10/11, 72, 40, , 
2024/10/12, 87, 37, , 
2024/10/13, 78, 23, , 
2024/10/14, 58, 21, , 
2024/10/15, 57, 31, , 
2024/10/16, 76, 36, 33, 
2024/10/17, 84, 42, 25, 
2024/10/18, 91, 42, 20, 
2024/10/19, 90, 34, 29, 
2024/10/20, 79, 30, 17, 
2024/10/21, 77, 30, 24, 
2024/10/22, 76, 40, , 
2024/10/23, 92, 37, , 
2024/10/24, 81, 36, , 
2024/10/25, 79, 38, , 
2024/10/26, 85, , , 
2024/7/2, 68, , , 
2024/7/3, 73, 39, , 
2024/7/4, 78, 37, , 
2024/7/5, 74, 34, , 
2024/7/6, 71, 38, , 
2024/7/7, 76, 37, , 
2024/7/8, 67, 31, , 
2024/7/9, 63, , , 
2024/7/10, 65, 37, , 
2024/7/11, 69, 42, , 
2024/7/12, 73, 47, , 
2024/7/13, 83, 50, , 
2024/7/14, 88, 40, , 
2024/7/15, 69, , , 
2024/7/16, 58, 39, , 
2024/7/17, 67, 40, , 
2024/7/18, 74, 41, , 
2024/7/19, 70, , , 
2024/7/20, 81, , , 
2024/7/21, 80, , , 
2024/7/22, 61, , , 
2024/7/23, 61, 40, , 
2024/7/24, 69, , , 
2024/7/25, 81, , , 
2024/7/26, 85, 50, , 
2024/7/27, 83, 41, , 
2024/7/28, 79, 34, , 
2024/7/29, 69, 34, , 
2024/7/30, 70, 40, , 
2024/7/31, 76, 41, , 
2024/8/1, 79, 42, , 
2024/8/2, 76, 43, , 
2024/8/3, 77, 39, , 
2024/8/4, 76, 37, , 
2024/8/5, 75, 34, , 
2024/8/6, 69, 36, , 
2024/8/7, 77, 34, , 
2024/8/8, 79, 41, , 
2024/8/9, 82, 46, , 
2024/8/10, 85, 42, , 
2024/8/11, 82, 31, , 
2024/8/12, 71, 39, , 
2024/8/13, 82, 36, , 
2024/8/14, 72, 37, , 
2024/8/15, 76, 45, , 
2024/8/16, 86, 46, , 
2024/8/17, 95, 37, , 
2024/8/18, 80, 36, , 
2024/8/19, 80, 30, , 
2024/8/20, 72, 38, , 
2024/8/21, 78, 48, , 
2024/8/22, 90, 43, , 
