date, pm25
2024/10/2, 71
2024/10/3, 63
2024/10/4, 53
2024/10/5, 54
2024/10/6, 54
2024/10/7, 58
2024/10/8, 55
2024/10/9, 60
2024/10/10, 55
2024/10/11, 49
2024/10/12, 53
2024/10/13, 51
2024/10/14, 37
2024/10/15, 37
2024/10/16, 50
2024/10/17, 59
2024/10/18, 67
2024/10/19, 67
2024/10/20, 48
2024/10/21, 40
2024/10/22, 47
2024/10/23, 57
2024/10/24, 51
2024/10/25, 56
2024/10/26, 62
2024/7/2, 47
2024/7/3, 48
2024/7/4, 58
2024/7/5, 54
2024/7/6, 32
2024/7/7, 43
2024/7/8, 52
2024/7/9, 52
2024/7/10, 50
2024/7/11, 56
2024/7/12, 58
2024/7/13, 68
2024/7/14, 62
2024/7/15, 56
2024/7/16, 50
2024/7/17, 54
2024/7/18, 53
2024/7/19, 58
2024/7/20, 60
2024/7/21, 57
2024/7/22, 52
2024/7/23, 46
2024/7/24, 56
2024/7/25, 64
2024/7/26, 62
2024/7/27, 69
2024/7/28, 59
2024/7/29, 55
2024/7/30, 53
2024/7/31, 53
2024/8/1, 62
2024/8/2, 57
2024/8/3, 63
2024/8/4, 57
2024/8/5, 57
2024/8/6, 51
2024/8/7, 49
2024/8/8, 49
2024/8/9, 62
2024/8/10, 65
2024/8/11, 62
2024/8/12, 50
2024/8/13, 53
2024/8/14, 53
2024/8/15, 55
2024/8/16, 65
2024/8/17, 71
2024/8/18, 59
2024/8/19, 57
2024/8/20, 53
2024/8/21, 57
2024/8/22, 67
2024/8/23, 61
2024/8/24, 52
2024/8/25, 52
2024/8/26, 52
2024/8/27, 44
2024/8/28, 59
2024/8/29, 64
2024/8/30, 59
2024/8/31, 62
2024/9/1, 78
2024/9/2, 70
2024/9/3, 63
2024/9/4, 77
2024/9/5, 67
2024/9/6, 64
2024/9/7, 68
2024/9/8, 75
2024/9/9, 75
2024/9/10, 73
2024/9/11, 70
2024/9/12, 72
2024/9/13, 69
2024/9/14, 61
2024/9/15, 64
2024/9/16, 66
2024/9/17, 59
2024/9/18, 62
2024/9/19, 63
2024/9/20, 72
2024/9/21, 76
2024/9/24, 52
2024/9/25, 55
2024/9/26, 61
2024/9/27, 59
2024/9/28, 58
2024/9/29, 65
2024/9/30, 44
2024/10/1, 63
2024/4/2, 89
2024/4/3, 88
2024/4/4, 73
2024/4/5, 73
2024/4/6, 67
2024/4/7, 65
2024/4/8, 67
2024/4/9, 61
2024/4/10, 75
2024/4/11, 89
2024/4/12, 83
2024/4/13, 96
2024/4/14, 106
2024/4/15, 114
2024/4/16, 114
2024/4/17, 111
2024/4/18, 108
2024/4/19, 87
2024/4/20, 89
2024/4/21, 64
2024/4/22, 53
2024/4/23, 53
