date, pm25, pm10
2018/4/11, 98, 
2018/4/12, 101, 
2018/4/13, 88, 
2018/4/14, 100, 
2018/4/15, 102, 
2018/4/16, 105, 
2017/10/4, 62, 
2017/10/5, 60, 
2017/10/6, 82, 
2017/10/7, 60, 
2017/10/8, 53, 
2017/10/9, 57, 
2017/10/10, 93, 
2017/10/11, 79, 
2017/10/12, 62, 
2017/10/13, 67, 
2017/10/14, 69, 
2017/10/15, 60, 
2017/10/17, 57, 
2017/10/20, 76, 
2017/10/23, 66, 
2017/10/24, 54, 
2017/10/25, 82, 
2017/10/26, 92, 
2017/10/27, 68, 
2017/10/31, 52, 
2017/11/1, 55, 
2017/11/2, 61, 
2017/11/9, 79, 
2017/11/10, 99, 
2017/11/11, 75, 
2017/11/13, 57, 
2017/11/14, 73, 
2017/11/15, 89, 
2017/11/16, 67, 
2017/11/17, 41, 
2017/11/20, 30, 
2017/11/21, 40, 
2017/11/22, 46, 
2017/11/23, 45, 
2017/11/24, 50, 38
2017/11/25, 59, 47
2017/11/28, 53, 45
2017/11/29, 53, 43
2017/12/1, 70, 
2017/7/4, 77, 
2017/7/5, 72, 
2017/7/6, 69, 
2017/7/7, 48, 
2017/7/10, 40, 
2017/7/11, 54, 
2017/7/12, 56, 
2017/7/13, 49, 
2017/7/14, 78, 
2017/7/17, 60, 
2017/7/18, 63, 
2017/7/19, 49, 
2017/7/21, 46, 
2017/7/22, 58, 
2017/7/23, 64, 
2017/7/24, 48, 
2017/7/25, 56, 
2017/7/26, 63, 
2017/7/31, 51, 
2017/8/11, 67, 
2017/8/14, 60, 
2017/8/16, 77, 
2017/9/12, 36, 
2017/9/14, 51, 
2017/9/15, 58, 
2017/9/16, 55, 
2017/9/18, 39, 
2017/9/19, 57, 
2017/9/20, 58, 
2017/9/21, 60, 
2017/9/25, 38, 
2017/9/26, 62, 
2017/9/27, 55, 
2017/9/28, 55, 
2017/9/29, 61, 
2017/4/3, 44, 
2017/4/4, 50, 
2017/4/5, 85, 
2017/4/6, 112, 
2017/4/7, 121, 
2017/4/8, 87, 
2017/4/17, 50, 
2017/4/18, 63, 
2017/4/19, 70, 
2017/4/20, 71, 
2017/4/21, 49, 
2017/4/22, 50, 
2017/4/23, 60, 
2017/4/24, 59, 
2017/4/25, 46, 
2017/4/26, 45, 
2017/4/28, 75, 
2017/4/29, 17, 
2017/5/2, 59, 
2017/5/3, 49, 
2017/5/4, 67, 
2017/5/5, 91, 
2017/5/6, 91, 
2017/5/7, 46, 
2017/5/8, 37, 
2017/5/9, 42, 
2017/5/10, 55, 
2017/5/11, 25, 
2017/5/12, 53, 
2017/5/13, 34, 
2017/5/20, 56, 
2017/5/21, 60, 
2017/5/22, 55, 
2017/5/23, 68, 
2017/5/24, 77, 
2017/5/25, 62, 
2017/5/26, 64, 
2017/5/27, 50, 
2017/5/29, 57, 
2017/5/30, 59, 
2017/5/31, 56, 
2017/6/1, 69, 
2017/6/2, 73, 
2017/6/3, 77, 
2017/6/4, 85, 
2017/6/5, 79, 
2017/6/6, 96, 
2017/6/7, 65, 
2017/6/8, 62, 
2017/6/9, 71, 
2017/6/10, 87, 
2017/6/11, 57, 
2017/6/12, 62, 
2017/6/13, 74, 
2017/6/14, 87, 
2017/6/15, 88, 
2017/6/16, 72, 
2017/6/17, 83, 
2017/6/18, 74, 
2017/6/19, 72, 
2017/6/20, 58, 
2017/6/21, 68, 
2017/6/22, 88, 
2017/6/23, 76, 
2017/6/24, 77, 
2017/6/25, 73, 
2017/6/26, 79, 
2017/6/27, 59, 
2017/6/28, 69, 
2017/6/29, 68, 
2017/6/30, 69, 
2017/7/1, 63, 
2017/1/3, 51, 
2017/1/4, 61, 
2017/1/9, 55, 
2017/1/14, 58, 
2017/1/16, 49, 
2017/1/17, 62, 
2017/1/18, 52, 
2017/1/20, 68, 
2017/1/23, 59, 
2017/1/24, 74, 
2017/1/25, 75, 
2017/1/26, 79, 
2017/1/27, 81, 
2017/1/29, 50, 
2017/1/30, 52, 
2017/1/31, 42, 
2017/2/1, 52, 
2017/2/2, 56, 
2017/2/3, 64, 
2017/2/6, 63, 
2017/2/7, 69, 
2017/2/8, 87, 
2017/2/9, 87, 
2017/2/10, 90, 
2017/2/13, 66, 
2017/2/14, 78, 
2017/2/15, 83, 
2017/2/16, 79, 
