COMBUSTIBLE,ESTADO,FECHA_DE_REGISTRO,CLASE,SERVICIO,MUNICIPIO,DEPARTAMENTO,CANTIDAD
GASOLINA,ACTIVO,1901,AUTOMOVIL,PARTICULAR,ENVIGADO,ANTIOQUIA,1
GASOLINA,ACTIVO,1905,AUTOMOVIL,PARTICULAR,ENVIGADO,ANTIOQUIA,2
GASOLINA,ACTIVO,1934,AUTOMOVIL,PARTICULAR,ENVIGADO,ANTIOQUIA,1
GASOLINA,ACTIVO,1935,AUTOMOVIL,PARTICULAR,ITAGUI,ANTIOQUIA,1
DIESEL,ACTIVO,1936,CAMION,PARTICULAR,ENVIGADO,ANTIOQUIA,1
GASOLINA,ACTIVO,1936,AUTOMOVIL,PARTICULAR,MEDELLIN,ANTIOQUIA,1
DIESEL,ACTIVO,1938,CAMION,PARTICULAR,GIRARDOTA,ANTIOQUIA,1
GASOLINA,ACTIVO,1939,AUTOMOVIL,PARTICULAR,BELLO,ANTIOQUIA,1
GASOLINA,ACTIVO,1939,CAMIONETA,PARTICULAR,ITAGUI,ANTIOQUIA,1
GASOLINA,ACTIVO,1939,AUTOMOVIL,PARTICULAR,MEDELLIN,ANTIOQUIA,4
GASOLINA,ACTIVO,1940,AUTOMOVIL,PARTICULAR,MEDELLIN,ANTIOQUIA,16
DIESEL,ACTIVO,1940,CAMION,PARTICULAR,MEDELLIN,ANTIOQUIA,2
GASOLINA,ACTIVO,1940,CAMIONETA,PARTICULAR,MEDELLIN,ANTIOQUIA,3
GASOLINA,ACTIVO,1941,AUTOMOVIL,PARTICULAR,BELLO,ANTIOQUIA,1
DIESEL,ACTIVO,1941,CAMION,PARTICULAR,ENVIGADO,ANTIOQUIA,1
DIESEL,ACTIVO,1941,CAMION,PARTICULAR,ITAGUI,ANTIOQUIA,2
GASOLINA,ACTIVO,1941,AUTOMOVIL,PARTICULAR,MEDELLIN,ANTIOQUIA,21
DIESEL,ACTIVO,1941,CAMION,PARTICULAR,MEDELLIN,ANTIOQUIA,4
GASOLINA,ACTIVO,1941,CAMIONETA,PARTICULAR,MEDELLIN,ANTIOQUIA,6
DIESEL,ACTIVO,1941,CAMION,PÚBLICO,MEDELLIN,ANTIOQUIA,1
DIESEL,ACTIVO,1942,CAMION,PARTICULAR,BELLO,ANTIOQUIA,1
GASOLINA,ACTIVO,1942,AUTOMOVIL,PARTICULAR,MEDELLIN,ANTIOQUIA,9
DIESEL,ACTIVO,1942,CAMION,PARTICULAR,MEDELLIN,ANTIOQUIA,1
GASOLINA,ACTIVO,1943,AUTOMOVIL,PARTICULAR,MEDELLIN,ANTIOQUIA,1
DIESEL,ACTIVO,1943,CAMION,PARTICULAR,MEDELLIN,ANTIOQUIA,1
GASOLINA,ACTIVO,1944,AUTOMOVIL,PARTICULAR,MEDELLIN,ANTIOQUIA,4
GASOLINA,ACTIVO,1944,CAMIONETA,PARTICULAR,MEDELLIN,ANTIOQUIA,3
DIESEL,ACTIVO,1945,CAMION,PARTICULAR,ENVIGADO,ANTIOQUIA,1
GASOLINA,ACTIVO,1945,AUTOMOVIL,PARTICULAR,MEDELLIN,ANTIOQUIA,3
