COMBUSTIBLE,ESTADO,FECHA_DE_REGISTRO,CLASE,SERVICIO,MUNICIPIO,DEPARTAMENTO,CANTIDAD,PM25,PM10,NO2,CO
ELECTRICO,ACTIVO,2022,AUTOMOVIL,Particular,SABANETA,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,AUTOMOVIL,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CAMIONETA,Público,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,AUTOMOVIL,Particular,SABANETA,Antioquia,1,,,,
ELECTRICO,ACTIVO,2016,AUTOMOVIL,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,AUTOMOVIL,Particular,SABANETA,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,AUTOMOVIL,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,AUTOMOVIL,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,CUADRICICLO,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2018,CAMIONETA,Público,SABANETA,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,AUTOMOVIL,Particular,SABANETA,Antioquia,1,,,,
ELECTRICO,ACTIVO,2018,AUTOMOVIL,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CAMION,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2013,MOTOCICLETA,Particular,ITAGUI,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,CAMION,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2012,MOTOCICLETA,Particular,ITAGUI,Antioquia,1,,,,
ELECTRICO,ACTIVO,2017,AUTOMOVIL,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2013,MOTOCICLETA,Particular,ITAGUI,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CAMION,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,CAMIONETA,Público,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CAMION,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CAMIONETA,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CUADRICICLO,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,CUADRICICLO,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CAMIONETA,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2018,AUTOMOVIL,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,CAMIONETA,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,AUTOMOVIL,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2017,MOTOCICLETA,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CAMIONETA,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,CAMION,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,MOTOCICLETA,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,AUTOMOVIL,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CUADRICICLO,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,AUTOMOVIL,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,CAMIONETA,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CAMIONETA,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2018,AUTOMOVIL,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,AUTOMOVIL,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CAMIONETA,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,AUTOMOVIL,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,AUTOMOVIL,Particular,SABANETA,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CUADRICICLO,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CAMION,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,AUTOMOVIL,Particular,SABANETA,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,BUS,Público,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,AUTOMOVIL,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CUADRICICLO,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,CAMIONETA,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CUADRICICLO,Particular,SABANETA,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CUADRICICLO,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CUADRICICLO,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2015,MOTOCICLETA,Particular,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,CAMION,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CAMIONETA,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CAMIONETA,Público,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2020,CAMIONETA,Público,ENVIGADO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2019,BUS,Público,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2010,MOTOCICLETA,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,CUADRICICLO,Particular,MEDELLIN,Antioquia,1,,,,
ELECTRICO,ACTIVO,2022,CAMION,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,CAMION,Público,BELLO,Antioquia,1,,,,
ELECTRICO,ACTIVO,2021,CAMIONETA,Público,BELLO,Antioquia,1,,,,
