COMBUSTIBLE,ESTADO,MODELO,FECHA_DE_REGISTRO,CLASIFICACION,CLASE,SERVICIO,MARCA,LINEA,CARROCERIA,CILINDRAJE,MODALIDAD,ORGANISMO_TRANSITO,MUNICIPIO,DEPARTAMENTO,CAPACIDAD_CARGA,CAPACIDAD_PASAJEROS,PESO,POTENCIA,EJES,CANTIDAD
ELECTRICO,ACTIVO,2023,2022,AUTOMOVIL,AUTOMOVIL,Particular,MINI,COOPER SE,HATCH BACK,0,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,1440,184,2,1
ELECTRICO,ACTIVO,2022,2021,AUTOMOVIL,AUTOMOVIL,Particular,BYD,E1,HATCH BACK,0,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,1445,60,2,1
ELECTRICO,ACTIVO,2020,2020,AUTOMOVIL,CAMIONETA,Público,JAC,HFC1031XXYEV41,FURGON,0,CARGA,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,960,0,3195,147,2,1
ELECTRICO,ACTIVO,2022,2021,AUTOMOVIL,AUTOMOVIL,Particular,BMW,I3S,HATCH BACK,0,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,1365,181,2,1
ELECTRICO,ACTIVO,2016,2016,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,TWIZY TECHNIC,COUPE,888,PASAJEROS,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,690,15,2,1
ELECTRICO,ACTIVO,2022,2021,AUTOMOVIL,AUTOMOVIL,Particular,CHANGAN,E-STAR,HATCH BACK,0,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,1555,74,2,1
ELECTRICO,ACTIVO,2023,2022,AUTOMOVIL,AUTOMOVIL,Particular,MINI,COOPER SE,HATCH BACK,0,,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1440,184,2,1
ELECTRICO,ACTIVO,2023,2022,AUTOMOVIL,AUTOMOVIL,Particular,JAC,E10X,HATCH BACK,,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,,60,,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,CUADRICICLO,Particular,RENAULT,TWIZY TECHNIC,SIN CARROCERIA,,,STRIA TTEyTTO ENVIGADO,ENVIGADO,Antioquia,,,680,15,2,1
ELECTRICO,ACTIVO,2019,2018,AUTOMOVIL,CAMIONETA,Público,RENAULT,KANGOO ZE,PANEL,0,CARGA,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,535,,2175,60,2,1
ELECTRICO,ACTIVO,2020,2019,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE,HATCH BACK,0,,STRIA TTOyTTE MCPAL SABANETA,SABANETA,Antioquia,,,1965,92,2,1
ELECTRICO,ACTIVO,2019,2018,AUTOMOVIL,AUTOMOVIL,Particular,RENAULT,ZOE,HATCH BACK,0,PASAJEROS,STRIA DE TTOyTTE MEDELLIN,MEDELLIN,Antioquia,,,1965,92,2,1
ELECTRICO,ACTIVO,2019,2020,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,FURGON,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3125,,7365,161,2,1
ELECTRICO,ACTIVO,2014,2013,MOTO,MOTOCICLETA,Particular,ENERGY MOTION,MBL B,SIN CARROCERIA,70,PASAJEROS,STRIA TTEyTTO ITAGUI,ITAGUI,Antioquia,,,,,,1
ELECTRICO,ACTIVO,2019,2019,AUTOMOVIL,CAMION,Público,STARK,STQ1079L02Y1NBEV,FURGON,0,CARGA,STRIA TTEyTTO BELLO,BELLO,Antioquia,3125,,7365,161,2,1
ELECTRICO,ACTIVO,2012,2012,MOTO,MOTOCICLETA,Particular,ENERGY MOTION,MSG C,SIN CARROCERIA,70,,STRIA TTEyTTO ITAGUI,ITAGUI,Antioquia,0,,0,0,0,1
