NOMBRE_MUNICIPIO|NOMBRE_SERVICIO|NOMBRE_DE_LA_CLASE|FECHA DE REGISTRO|CANTIDAD|CONTROL_EMISIONES|ANO_CONTROL|DIESEL|ETANOL - GASOLINA|GAS - GASOLINA|GAS LICUADO DE PETROLEO (GLP)|GAS NATURAL VEHICULAR (GNV)|GASOLINA|PM2.5|NO2|CO|O3
BARBOSA|PARTICULAR|AUTOMOVIL|1998|2|SI|2020|0|0|0|0|0|1|19.4|22.65303369|473.52778999|19.2
BARBOSA|PARTICULAR|CAMION|1998|7|SI|2020|5|0|0|0|0|0|8.30416667|19.23594691|461.88202138|27.30434783
BARBOSA|PARTICULAR|CAMIONETA|1998|5|NO|2020|0|0|0|0|0|0|11.41363636|17.22526076|431.13411558|26.04347826
BARBOSA|PARTICULAR|CAMPERO|1998|11|NO|2020|0|0|0|0|0|0|17.14166667|18.60101773|497.3609487|18.04347826
BARBOSA|PARTICULAR|MAQ. INDUSTRIAL|1998|2|NO|2020|0|0|0|0|0|0|19.27083333|28.87154149|517.83967005|24.39130435
BARBOSA|PARTICULAR|MOTOCICLETA|1998|240|NO|2020|0|0|0|0|0|0|14.42083333|18.40992464|456.96506746|21.91304348
BARBOSA|PARTICULAR|VOLQUETA|1998|3|NO|2020|0|0|0|0|0|0|11.9375|16.58303084|441.75901285|20.26086957
BARBOSA|PUBLICO|BUS|1998|2|NO|2020|0|0|0|0|0|0|16.04583333|16.32778845|482.93548927|15.82608696
BARBOSA|PUBLICO|CAMION|1998|8|SI|2020|5|0|0|0|0|0|13.9|19.82903978|409.08846155|27.56521739
BARBOSA|PUBLICO|CAMIONETA|1998|1|NO|2020|0|0|0|0|0|0|10.625|17.00491266|395.93328306|20.82608696
BARBOSA|PUBLICO|MICROBUS|1998|2|NO|2020|0|0|0|0|0|0|9.33333333|9.7141492|463.9593979|28.04347826
BARBOSA|PUBLICO|TRACTOCAMION|1998|1|NO|2020|0|0|0|0|0|0|9.43333333|15.95293421|337.12413125|24.08695652
BARBOSA|PUBLICO|VOLQUETA|1998|1|NO|2020|0|0|0|0|0|0|10.5375|23.01323632|396.75058102|28.86956522
BARBOSA|PARTICULAR|AUTOMOVIL|1999|3|SI|2020|0|0|0|0|0|1|14.37083333|25.27860393|360.07990884|22.08695652
BARBOSA|PARTICULAR|CAMION|1999|7|SI|2020|6|0|0|0|0|0|17.625|22.26870682|528.18268487|21.59090909
BARBOSA|PARTICULAR|CAMIONETA|1999|3|NO|2020|0|0|0|0|0|0|16.81428571|14.19275314|677.06947412|25.39130435
BARBOSA|PARTICULAR|CAMPERO|1999|6|NO|2020|0|0|0|0|0|0|18.77083333|22.08227867|706.16824905|29.82608696
BARBOSA|PARTICULAR|MAQ. INDUSTRIAL|1999|1|NO|2020|0|0|0|0|0|0|18.45416667|22.35354518|557.69512234|36.43478261
BARBOSA|PARTICULAR|MOTOCICLETA|1999|217|NO|2020|0|0|0|0|0|0|18.6625|13.7255276|437.39538971|27.17391304
BARBOSA|PARTICULAR|VOLQUETA|1999|1|NO|2020|0|0|0|0|0|0|16.26666667|18.55391794|634.33637737|26.52173913
BARBOSA|PUBLICO|CAMION|1999|6|SI|2020|6|0|0|0|0|0|11.93809524|16.09521162|392.76422007|25.39130435
BARBOSA|PUBLICO|TRACTOCAMION|1999|1|NO|2020|0|0|0|0|0|0|12.2826087|15.0948194|356.98371346|27.86956522
BARBOSA|OTROS|CAMPERO|2000|1|NO|2020|0|0|0|0|0|0|14.95217391|9.57844542|402.31864551|22.0
BARBOSA|PARTICULAR|AUTOMOVIL|2000|1|NO|2020|0|0|0|0|0|0|17.43913043|16.75303017|408.8932173|25.56521739
BARBOSA|PARTICULAR|CAMION|2000|1|NO|2020|0|0|0|0|0|0|15.70952381|18.21338922|283.27930254|28.65217391
BARBOSA|PARTICULAR|CAMIONETA|2000|4|NO|2020|0|0|0|0|0|0|15.65652174|20.77627874|260.60313586|23.73913043
BARBOSA|PARTICULAR|CAMPERO|2000|1|NO|2020|0|0|0|0|0|0|15.63478261|38.70499897|486.25276046|21.69565217
BARBOSA|PARTICULAR|MOTOCICLETA|2000|2|SI|2020|0|0|0|0|0|1|13.22608696|35.72000625|376.31045155|22.30434783
BARBOSA|PUBLICO|BUSETA|2000|1|NO|2020|0|0|0|0|0|0|15.44782609|13.29679928|242.19974813|24.69565217
BARBOSA|PUBLICO|CAMION|2000|1|NO|2020|0|0|0|0|0|0|19.25833333|30.35130023|271.34922318|27.95652174
BARBOSA|PUBLICO|MICROBUS|2000|1|NO|2020|0|0|0|0|0|0|19.69583333|63.52413415|348.03350641|24.43478261
BARBOSA|PUBLICO|VOLQUETA|2000|1|NO|2020|0|0|0|0|0|0|33.14285714|33.04463617|257.86378281|0.25224981
BARBOSA|PARTICULAR|AUTOMOVIL|2001|2|NO|2020|0|0|0|0|0|0|32.7|23.81327743|482.52921775|23.07735403
BARBOSA|PARTICULAR|CAMIONETA|2001|2|SI|2020|1|0|0|0|0|0|27.95416667|23.32457148|411.89914382|14.01971738
BARBOSA|PARTICULAR|CAMPERO|2001|1|NO|2020|0|0|0|0|0|0|23.30833333|25.57224746|423.36807689|17.8536809
BARBOSA|PARTICULAR|MICROBUS|2001|1|NO|2020|0|0|0|0|0|0|28.075|19.86106963|486.39289866|16.70103942
BARBOSA|PARTICULAR|MOTOCICLETA|2001|15|NO|2020|0|0|0|0|0|0|32.99166667|25.10862948|451.58024114|10.16122956
BARBOSA|PUBLICO|CAMION|2001|5|SI|2020|3|0|0|0|0|0|33.29583333|26.1672991|497.03331918|7.68427658
BARBOSA|PUBLICO|CAMIONETA|2001|1|SI|2020|1|0|0|0|0|0|21.79583333|23.73741808|642.48483761|16.51301988
BARBOSA|PUBLICO|MICROBUS|2001|2|NO|2020|0|0|0|0|0|0|29.32916667|26.07710937|479.59582075|30.30384392
BARBOSA|OFICIAL|MOTOCICLETA|2002|1|NO|2020|0|0|0|0|0|0|31.35416667|28.69924784|467.36397131|30.86790252
BARBOSA|PARTICULAR|AUTOMOVIL|2002|9|NO|2020|0|0|0|0|0|0|29.35416667|26.49967932|449.4719343|25.22731652
BARBOSA|PARTICULAR|CAMIONETA|2002|5|SI|2020|1|0|0|0|0|0|31.57083333|24.16583301|465.97752712|28.45634763
BARBOSA|PARTICULAR|CAMPERO|2002|3|NO|2020|0|0|0|0|0|0|32.35416667|22.59091709|373.05189745|18.91995425
BARBOSA|PARTICULAR|MOTOCICLETA|2002|24|NO|2020|0|0|0|0|0|0|15.45833333|26.82585176|364.4198704|35.78910943
BARBOSA|PUBLICO|BUS|2002|1|NO|2020|0|0|0|0|0|0|14.42083333|34.85222294|398.8362102|17.74740899
BARBOSA|PUBLICO|BUSETA|2002|1|NO|2020|0|0|0|0|0|0|16.56666667|33.89846589|392.35678753|29.79700866
BARBOSA|PUBLICO|CAMION|2002|11|SI|2020|3|0|0|0|0|0|18.48181818|28.80693333|386.2725377|26.58432706
BARBOSA|PUBLICO|CAMIONETA|2002|1|SI|2020|1|0|0|0|0|0|25.95833333|19.15135927|618.87955688|18.29511807
BARBOSA|PUBLICO|MICROBUS|2002|1|NO|2020|0|0|0|0|0|0|32.05833333|24.22236319|605.90043763|21.77756682
BARBOSA|PUBLICO|TRACTOCAMION|2002|2|NO|2020|0|0|0|0|0|0|38.975|14.65065594|568.24495896|20.89469249
BARBOSA|PUBLICO|VOLQUETA|2002|3|NO|2020|0|0|0|0|0|0|39.275|33.0958855|397.60011595|17.89455472
BARBOSA|OFICIAL|BUS|2003|1|NO|2020|0|0|0|0|0|0|25.37083333|28.78016866|437.23986502|24.64690839
BARBOSA|OFICIAL|MOTOCICLETA|2003|1|NO|2020|0|0|0|0|0|0|34.55|25.48712704|607.3958358|9.72563151
BARBOSA|PARTICULAR|AUTOMOVIL|2003|42|NO|2020|0|0|0|0|0|0|28.42916667|25.91967889|526.46368297|11.98420156
BARBOSA|PARTICULAR|CAMIONETA|2003|16|SI|2020|1|0|0|0|0|0|24.21666667|21.42684199|374.8081841|8.16658756
BARBOSA|PARTICULAR|CAMPERO|2003|32|NO|2020|0|0|0|0|0|0|27.85833333|16.02264301|479.67298852|14.74727122
BARBOSA|PARTICULAR|MOTOCICLETA|2003|165|NO|2020|0|0|0|0|0|0|40.56666667|21.85030514|571.0512395|9.72796716
BARBOSA|PARTICULAR|VOLQUETA|2003|2|NO|2020|0|0|0|0|0|0|33.80416667|25.47198181|511.58263942|26.19193847
BARBOSA|PUBLICO|BUS|2003|6|NO|2020|0|0|0|0|0|0|30.85416667|35.04902611|496.94138047|27.25465757
BARBOSA|PUBLICO|CAMION|2003|16|SI|2020|1|0|0|0|0|0|28.40833333|25.36761056|545.30733134|19.55403147
