NOMBRE_MUNICIPIO,FECHA_DE_REGISTRO,PM25,PM10,NO2,CO
SABANETA,02/01/2023,79,,,
SABANETA,19/01/2024,73,,,
SABANETA,18/01/2024,74,,,
SABANETA,17/01/2024,69,,,
SABANETA,13/01/2024,74,,,
SABANETA,12/01/2024,74,,,
SABANETA,11/01/2024,74,,,
SABANETA,10/01/2024,67,,,
SABANETA,20/01/2024,74,,,
SABANETA,09/01/2024,60,,,
SABANETA,07/01/2024,59,,,
SABANETA,06/01/2024,62,,,
SABANETA,05/01/2024,58,,,
SABANETA,04/01/2024,54,,,
SABANETA,03/01/2024,61,,,
SABANETA,02/01/2024,76,,,
SABANETA,01/07/2024,54,,,
SABANETA,08/01/2024,58,,,
SABANETA,30/06/2024,55,,,
SABANETA,21/01/2024,72,,,
SABANETA,23/01/2024,61,,,
SABANETA,08/02/2024,59,,,
SABANETA,07/02/2024,55,,,
SABANETA,06/02/2024,67,,,
SABANETA,05/02/2024,56,,,
SABANETA,04/02/2024,63,,,
SABANETA,03/02/2024,82,,,
SABANETA,02/02/2024,76,,,
SABANETA,22/01/2024,68,,,
SABANETA,01/02/2024,77,,,
SABANETA,30/01/2024,95,,,
SABANETA,29/01/2024,98,,,
SABANETA,28/01/2024,99,,,
SABANETA,27/01/2024,94,,,
SABANETA,26/01/2024,79,,,
SABANETA,25/01/2024,67,,,
SABANETA,24/01/2024,62,,,
SABANETA,31/01/2024,86,,,
SABANETA,29/06/2024,57,,,
SABANETA,28/06/2024,51,,,
SABANETA,27/06/2024,46,,,
SABANETA,05/06/2024,51,,,
SABANETA,04/06/2024,48,,,
SABANETA,03/06/2024,48,,,
SABANETA,02/06/2024,52,,,
SABANETA,01/06/2024,59,,,
SABANETA,31/05/2024,56,,,
SABANETA,30/05/2024,50,,,
SABANETA,06/06/2024,66,,,
SABANETA,29/05/2024,51,,,
SABANETA,27/05/2024,53,,,
SABANETA,26/05/2024,57,,,
SABANETA,25/05/2024,54,,,
SABANETA,24/05/2024,64,,,
SABANETA,23/05/2024,63,,,
SABANETA,22/05/2024,64,,,
SABANETA,21/05/2024,52,,,
SABANETA,28/05/2024,51,,,
SABANETA,07/06/2024,61,,,
SABANETA,08/06/2024,60,,,
SABANETA,09/06/2024,54,,,
SABANETA,26/06/2024,55,,,
SABANETA,25/06/2024,50,,,
SABANETA,24/06/2024,49,,,
SABANETA,23/06/2024,58,,,
SABANETA,22/06/2024,56,,,
SABANETA,21/06/2024,59,,,
SABANETA,20/06/2024,63,,,
SABANETA,19/06/2024,51,,,
SABANETA,18/06/2024,44,,,
SABANETA,17/06/2024,29,,,
SABANETA,16/06/2024,43,,,
SABANETA,15/06/2024,59,,,
SABANETA,14/06/2024,55,,,
SABANETA,13/06/2024,56,,,
SABANETA,12/06/2024,55,,,
SABANETA,11/06/2024,49,,,
SABANETA,10/06/2024,42,,,
SABANETA,09/02/2024,52,,,
SABANETA,10/02/2024,51,,,
SABANETA,11/02/2024,57,,,
SABANETA,12/02/2024,55,,,
SABANETA,09/10/2023,54,,,
SABANETA,08/10/2023,65,,,
SABANETA,07/10/2023,74,,,
SABANETA,06/10/2023,57,,,
